REGIONS,SEPTEMBER,,APRIL,-,SEPTEMBER,,SEPTEMBER,,APRIL,-,SEPTEMBER,,SEPTEMBER,,APRIL,-,SEPTEMBER,,
TOTAL,100,,100,100,100,100,100,100,100,,,100,100,,,,,100,100
,,,,,,PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,,
EASTERN,3.81,,4.38,3.79,4.23,9.95,9.92,9.78,10.39,,,8.58,8.58,,,,,8.42,8.87
WESTERN,24.8,,24.75,25.51,25.36,28.58,30.92,28.61,30.13,,,27.74,29.43,,,,,27.91,28.95
SOUTHERN,41.96,,42.74,42.42,42.9,28.44,27.48,28.29,27.54,,,31.47,31.18,,,,,31.49,31.34
NORTHERN,29.28,,28.09,28.17,27.46,29.13,28.67,29.54,28.75,,,29.17,28.53,,,,,29.23,28.43
NORTH EAST,0.15,,0.04,0.11,0.06,3.89,3,3.78,3.19,,,3.05,2.28,,,,,2.95,2.41
TOTAL,100,,100,100,100,100,100,100,100,,,100,100,,,,,100,100
,,,,,,FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,,
EASTERN,3.36,,3.37,3.07,3.04,11.24,11.56,11.36,11.42,,,6.44,6.52,,,,,6.22,6.25
WESTERN,29.81,,31.19,29.95,31.21,29.13,28.62,29.63,29.36,,,29.55,30.2,,,,,29.83,30.51
SOUTHERN,36.02,,36,36.19,35.55,26.8,26.2,26.68,26.47,,,32.41,32.23,,,,,32.58,32.07
NORTHERN,30.81,,29.44,30.79,30.2,29.44,30.65,29.35,30.17,,,30.28,29.91,,,,,30.24,30.19
NORTH EAST,0,,0,0,0,3.38,2.97,2.99,2.57,,,1.32,1.14,,,,,1.13,0.98
TOTAL,100,,100,100,100,100,100,100,100,,,100,100,,,,,100,100
